name,name_local_hi,name_local_kn,name_local_ta,name_local_bn,category,sub_category,veg_type,cuisine_regions,kcal,protein_g,carb_g,fat_g,fiber_g,sugar_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,vitamin_a_ug,vitamin_c_mg,vitamin_d_ug,vitamin_b12_ug,folate_ug,omega3_g,gi,glycemic_load_per_100g,allergens,fodmap_level,disease_allowed,disease_restricted,seasonality,cost_tier,unit_cost_inr,default_portion_g,default_portion_desc,source
White Rice (raw),चावल,ಅಕ್ಕಿ,அரிசி,চাল,CEREAL_MILLET,rice,VEG,pan_indian,345,6.8,78.2,0.5,0.6,0.1,1,115,10,0.7,0,0,0,0,8,0.01,73,57,,low,,diabetes_t2;pcos,all,economy,3,40,½ cup raw,IFCT-2017-est
Brown Rice (raw),ब्राउन चावल,ಕಂದು ಅಕ್ಕಿ,கைக்குத்தல் அரிசி,বাদামি চাল,CEREAL_MILLET,rice,VEG,pan_indian,362,7.5,76.0,2.7,3.5,0.9,5,265,33,1.8,0,0,0,0,20,0.04,68,52,,low,diabetes_t2;weight_loss,,all,standard,8,40,½ cup raw,IFCT-2017-est
Basmati Rice,बासमती,ಬಾಸ್ಮತಿ,பாஸ்மதி,বাসমতি,CEREAL_MILLET,rice,VEG,north_indian;hyderabadi,348,7.1,77.5,0.9,1.0,0.1,1,115,9,0.6,0,0,0,0,11,0.01,58,45,,low,,,all,standard,12,40,½ cup raw,IFCT-2017-est
Red Rice,लाल चावल,ಕೆಂಪು ಅಕ್ಕಿ,சிவப்பு அரிசி,লাল চাল,CEREAL_MILLET,rice,VEG,karnataka;kerala,365,7.0,76.5,2.8,3.5,0.5,4,250,15,1.0,0,0,0,0,20,0.03,55,42,,low,diabetes_t2;weight_loss;pcos,,all,standard,15,40,½ cup raw,IFCT-2017-est
Rice Flakes (Poha),पोहा,ಅವಲಕ್ಕಿ,அவல்,চিড়া,CEREAL_MILLET,rice,VEG,pan_indian,346,6.6,77.0,1.2,1.0,0.0,11,140,20,2.5,0,0,0,0,10,0.02,65,50,,low,,,all,economy,5,30,1 cup,IFCT-2017-est
Puffed Rice (Murmura),मुरमुरा,ಮಂಡಕ್ಕಿ,பொரி,মুড়ি,CEREAL_MILLET,rice,VEG,pan_indian,325,7.0,78.0,0.5,0.8,0.5,5,90,10,0.4,0,0,0,0,5,0.01,80,62,,low,,diabetes_t2,all,economy,4,20,1½ cup,IFCT-2017-est
Wheat Flour (Whole),गेहूं का आटा,ಗೋಧಿ ಹಿಟ್ಟು,கோதுமை மாவு,আটা,CEREAL_MILLET,wheat,VEG,north_indian;pan_indian,341,12.1,69.4,1.7,11.2,2.4,3,340,30,4.0,0,0,0,0,40,0.05,68,47,gluten,moderate,,gluten_intolerance;coeliac,all,economy,4,30,2 small rotis,IFCT-2017-est
Wheat Suji (Semolina),सूजी,ಸೂಜಿ,ரவை,সুজি,CEREAL_MILLET,wheat,VEG,pan_indian,348,10.5,72.0,1.0,3.5,0.5,2,150,20,1.0,0,0,0,0,30,0.02,66,48,gluten,low,,coeliac;gluten_intolerance,all,economy,5,30,½ cup,IFCT-2017-est
Bulgur Wheat (Daliya),दलिया,ಗೋಧಿ ರವೆ,கோதுமை தாலியா,ডালিয়া,CEREAL_MILLET,wheat,VEG,north_indian,342,12.3,69.0,1.3,12.5,0.8,7,350,35,2.5,0,0,0,0,38,0.05,48,33,gluten,moderate,diabetes_t2;weight_loss,coeliac,all,economy,8,30,½ cup,IFCT-2017-est
Ragi (Finger Millet),रागी,ರಾಗಿ,கேழ்வரகு,রাগী,CEREAL_MILLET,millet,VEG,karnataka;tamil_nadu;andhra,336,7.3,72.0,1.3,11.5,0.0,11,408,344,3.9,3,1.5,0,0,18,0.04,67,48,,low,diabetes_t2;weight_loss;anaemia;osteoporosis;pcos,,all,economy,5,30,2 small rotis,IFCT-2017-est
Jowar (Sorghum),ज्वार,ಜೋಳ,சோளம்,জোয়ার,CEREAL_MILLET,millet,VEG,karnataka;maharashtra;andhra,329,10.4,67.7,1.9,9.7,0.5,7,328,25,3.0,0,0,0,0,20,0.06,62,42,,low,diabetes_t2;weight_loss;pcos,,all,economy,4,30,2 small rotis,IFCT-2017-est
Bajra (Pearl Millet),बाजरा,ಸಜ್ಜೆ,கம்பு,বাজরা,CEREAL_MILLET,millet,VEG,rajasthan;gujarat;maharashtra,347,10.9,61.8,5.0,11.5,0.0,11,365,42,8.0,0,0,0,0,42,0.14,55,34,,low,diabetes_t2;anaemia;winter,,winter,economy,4,30,2 small rotis,IFCT-2017-est
Foxtail Millet (Navane),कंगनी,ನವಣೆ,தினை,কাঁকনি,CEREAL_MILLET,millet,VEG,karnataka;tamil_nadu;andhra,331,12.3,60.0,4.3,8.0,0.0,5,250,31,2.8,0,0,0,0,15,0.08,50,30,,low,diabetes_t2;weight_loss;pcos,,all,economy,8,30,½ cup raw,IFCT-2017-est
Little Millet (Saame),कुटकी,ಸಾಮೆ,சாமை,কুটকি,CEREAL_MILLET,millet,VEG,karnataka;tamil_nadu,341,7.7,67.0,4.7,7.6,0.0,8,180,17,9.3,0,0,0,0,8,0.05,52,32,,low,diabetes_t2;weight_loss;anaemia,,all,standard,15,30,½ cup raw,IFCT-2017-est
Kodo Millet (Arka),कोदो,ಹಾರಕ,வரகு,কোদো,CEREAL_MILLET,millet,VEG,karnataka;tamil_nadu,353,8.3,65.9,1.4,9.0,0.0,3,144,27,2.0,0,0,0,0,8,0.04,53,32,,low,diabetes_t2;weight_loss;pcos,,all,standard,12,30,½ cup raw,IFCT-2017-est
Barnyard Millet (Oodalu),झंगोरा,ಊದಲು,குதிரைவாலி,বার্নয়ার্ড,CEREAL_MILLET,millet,VEG,karnataka;uttarakhand,342,11.2,65.5,3.9,10.1,0.0,5,200,22,5.0,0,0,0,0,10,0.05,50,30,,low,diabetes_t2;weight_loss;fasting,,all,standard,15,30,½ cup raw,IFCT-2017-est
Oats (Rolled),जई,ಓಟ್ಸ್,ஓட்ஸ்,ওটস,CEREAL_MILLET,oats,VEG,pan_indian,389,16.9,66.3,6.9,10.6,0.0,2,429,54,4.7,0,0,0,0,32,0.11,55,33,gluten,low,diabetes_t2;weight_loss;heart;pcos,,all,standard,15,40,½ cup dry,IFCT-2017-est
Quinoa,क्विनोआ,ಕ್ವಿನೋವಾ,கினோவா,কুইনোয়া,CEREAL_MILLET,pseudo_cereal,VEG,pan_indian,368,14.0,64.0,6.0,7.0,0.0,5,560,47,4.6,0,0,0,0,180,0.30,53,31,,low,diabetes_t2;weight_loss;pcos;high_protein,,all,premium,80,40,½ cup raw,IFCT-2017-est
Barley (Jau),जौ,ಜವೆ,பார்லி,বার্লি,CEREAL_MILLET,barley,VEG,north_indian,352,12.5,73.5,1.3,17.3,0.8,12,452,33,3.6,0,0,0,0,19,0.10,28,18,gluten,moderate,diabetes_t2;weight_loss,coeliac,all,economy,8,30,½ cup raw,IFCT-2017-est
Buckwheat (Kuttu),कुट्टू,ಕುಟ್ಟು,குட்டு,কুট্টু,CEREAL_MILLET,pseudo_cereal,VEG,uttarakhand;fasting,343,13.0,71.5,3.4,10.0,0.0,1,460,18,2.2,0,0,0,0,30,0.08,54,34,,low,diabetes_t2;fasting,,all,standard,18,30,½ cup raw,IFCT-2017-est
Amaranth Grain (Rajgira),राजगिरा,ರಾಜಗಿರಾ,ராஜகீரா,রাজগিরা,CEREAL_MILLET,pseudo_cereal,VEG,fasting;pan_indian,371,14.5,66.0,6.5,7.0,0.0,4,508,160,7.6,0,4.2,0,0,82,0.04,76,50,,low,fasting;high_protein,,all,standard,20,30,½ cup raw,IFCT-2017-est
Maize (Makka),मक्का,ಮೆಕ್ಕೆಜೋಳ,சோளம்,ভুট்টা,CEREAL_MILLET,corn,VEG,punjab;north_indian,342,8.8,73.0,4.7,7.3,0.6,3,300,15,2.5,11,7.0,0,0,42,0.08,52,34,,low,,,winter,economy,5,30,2 small rotis,IFCT-2017-est
Sweet Corn Kernels,स्वीट कॉर्न,ಸಿಹಿ ಮೆಕ್ಕೆ,இனிப்பு சோளம்,সুইট কর্ন,CEREAL_MILLET,corn,VEG,pan_indian,86,3.2,19.0,1.2,2.7,3.2,1,270,2,0.5,9,6.0,0,0,42,0.02,55,11,,moderate,,,all,standard,40,80,½ cup,IFCT-2017-est
Vermicelli (Sevai),सेवई,ಸೇವಿಗೆ,சேமியா,সেমাই,CEREAL_MILLET,processed,VEG,pan_indian,355,9.5,75.0,1.5,1.0,0.5,5,80,15,1.0,0,0,0,0,8,0.01,65,48,gluten,low,,coeliac,all,economy,8,30,½ cup raw,IFCT-2017-est
Rice Vermicelli,चावल सेवई,ಶಾವಿಗೆ,இடியாப்பம் மாவு,বিরিয়ানির চাল,CEREAL_MILLET,processed,VEG,south_indian,360,6.5,80.0,0.5,0.5,0.0,3,40,8,0.3,0,0,0,0,5,0.01,58,46,,low,,,all,economy,10,30,½ cup raw,IFCT-2017-est
Toor Dal (Pigeon Pea),अरहर,ತೊಗರಿ,துவரம் பருப்பு,তুর ডাল,PULSE_LEGUME,dal,VEG,pan_indian,343,22.3,57.6,1.7,15.0,0.0,17,1392,73,2.7,0,0,0,0,103,0.10,32,18,,moderate,diabetes_t2;pcos;weight_loss,gout,all,economy,12,30,⅓ cup raw,IFCT-2017-est
Moong Dal (Green Gram Split),मूंग दाल,ಹೆಸರು ಬೇಳೆ,பாசிப்பருப்பு,মুগ ডাল,PULSE_LEGUME,dal,VEG,pan_indian,348,24.5,59.0,1.2,8.2,7.0,30,1150,75,4.4,21,4.0,0,0,140,0.10,38,22,,low,diabetes_t2;ibs;weight_loss;pcos,gout,all,economy,10,30,⅓ cup raw,IFCT-2017-est
Whole Moong (Green Gram),साबुत मूंग,ಹಸಿರು ಹೆಸರು,பச்சை பயறு,সবুজ মুগ,PULSE_LEGUME,whole_legume,VEG,pan_indian,331,24.0,56.7,1.3,16.3,7.0,15,1246,124,4.4,114,4.8,0,0,625,0.10,42,24,,moderate,diabetes_t2;weight_loss;pcos,gout,all,economy,12,30,⅓ cup raw,IFCT-2017-est
Masoor Dal (Red Lentil Split),मसूर दाल,ಮಸೂರ ಬೇಳೆ,மிசூர் பருப்பு,মসুর ডাল,PULSE_LEGUME,dal,VEG,pan_indian,343,25.1,58.0,1.5,11.0,2.0,30,950,52,7.5,2,4.5,0,0,180,0.13,29,17,,moderate,anaemia;diabetes_t2;pcos,gout,all,economy,10,30,⅓ cup raw,IFCT-2017-est
Whole Masoor (Brown Lentil),साबुत मसूर,ಬೌನ್ ಮಸೂರ,கருப்பு மிசூர்,আস্ত মসুর,PULSE_LEGUME,whole_legume,VEG,pan_indian,343,24.4,57.0,1.3,11.0,2.0,6,955,56,7.6,8,4.4,0,0,181,0.13,32,18,,moderate,anaemia;diabetes_t2,gout,all,economy,12,30,⅓ cup raw,IFCT-2017-est
Urad Dal (Black Gram Split),उड़द दाल,ಉದ್ದಿನ ಬೇಳೆ,உளுந்தம் பருப்பு,বিউলির ডাল,PULSE_LEGUME,dal,VEG,pan_indian,341,25.0,58.6,1.7,18.3,0.0,30,983,154,9.1,1,0,0,0,216,0.18,43,25,,high,osteoporosis;anaemia,gout;ibs_d,all,economy,12,30,⅓ cup raw,IFCT-2017-est
Whole Urad (Black Gram),साबुत उड़द,ಸಂಪೂರ್ಣ ಉದ್ದು,கருப்பு உளுந்து,আস্ত বিউলি,PULSE_LEGUME,whole_legume,VEG,pan_indian,341,24.0,59.0,1.5,18.0,0.0,30,1000,160,9.5,2,0,0,0,220,0.18,46,27,,high,anaemia,gout;ibs_d,all,economy,14,30,⅓ cup raw,IFCT-2017-est
Chana Dal (Bengal Gram Split),चना दाल,ಕಡಲೆ ಬೇಳೆ,கடலை பருப்பு,ছোলার ডাল,PULSE_LEGUME,dal,VEG,pan_indian,360,23.4,61.7,5.4,10.5,3.0,40,808,55,5.3,12,1.0,0,0,313,0.08,33,20,,moderate,diabetes_t2;heart;pcos,gout;ibs,all,economy,10,30,⅓ cup raw,IFCT-2017-est
Kabuli Chana (White Chickpea),काबुली चना,ಕಡಲೆ,கொண்டைக் கடலை,চানা,PULSE_LEGUME,whole_legume,VEG,pan_indian,360,18.0,61.0,6.0,17.0,11.0,24,718,57,4.3,4,4.0,0,0,557,0.10,33,20,,moderate,diabetes_t2;pcos;weight_loss,gout;ibs,all,economy,12,30,⅓ cup raw,IFCT-2017-est
Black Chana (Kala Chana),काला चना,ಕಪ್ಪು ಕಡಲೆ,கருப்பு கொண்டைக் கடலை,কালো চানা,PULSE_LEGUME,whole_legume,VEG,pan_indian,365,20.5,61.0,5.5,12.0,4.0,40,750,60,4.5,4,3.0,0,0,560,0.10,28,17,,moderate,diabetes_t2;anaemia;pcos,gout;ibs,all,economy,12,30,⅓ cup raw,IFCT-2017-est
Rajma (Kidney Beans),राजमा,ರಾಜ್ಮಾ,ராஜ்மா,রাজমা,PULSE_LEGUME,whole_legume,VEG,north_indian;punjab,333,22.9,60.6,1.3,15.2,2.0,12,1406,143,5.0,0,4.5,0,0,394,0.50,29,17,,high,diabetes_t2;pcos;weight_loss,gout;ibs_d,all,standard,15,30,⅓ cup raw,IFCT-2017-est
Black-eyed Peas (Lobia),लोबिया,ಅಲಸಂದೆ,காராமணி,বরবটি,PULSE_LEGUME,whole_legume,VEG,karnataka;tamil_nadu,343,23.5,60.0,1.3,10.6,4.0,16,1112,110,5.0,15,1.5,0,0,633,0.50,33,20,,moderate,diabetes_t2;anaemia,gout,all,economy,12,30,⅓ cup raw,IFCT-2017-est
Horse Gram (Kulthi),कुलथी,ಹುರಳಿ,கொள்ளு,কুলথি,PULSE_LEGUME,whole_legume,VEG,karnataka;andhra;tamil_nadu,321,22.0,57.0,0.5,5.0,0.0,8,800,287,7.0,3,1.0,0,0,300,0.10,36,21,,moderate,diabetes_t2;weight_loss;kidney_stones,gout,winter,economy,12,30,⅓ cup raw,IFCT-2017-est
Soybean (Yellow),सोयाबीन,ಸೋಯಾಬೀನ್,சோயா பீன்ஸ்,সয়াবিন,PULSE_LEGUME,legume,VEG,pan_indian,432,37.0,33.0,17.7,21.5,0.0,2,1797,277,15.7,1,6.0,0,0,375,1.30,18,6,soy,low,diabetes_t2;menopause;high_protein,thyroid;gout,all,standard,20,30,¼ cup raw,IFCT-2017-est
Soya Chunks (TVP),सोया चंक्स,ಸೋಯಾ ಚಂಕ್ಸ್,சோயா துண்டு,সয়া চাঙ্ক,PULSE_LEGUME,processed,VEG,pan_indian,345,52.0,33.0,0.5,13.0,0.0,2,2400,350,20.0,0,0,0,0,300,0.50,15,5,soy,low,muscle_gain;high_protein,thyroid,all,standard,18,30,½ cup raw,IFCT-2017-est
Tofu (Soya Paneer),टोफू,ತೋಫು,டோஃபு,তোফু,PULSE_LEGUME,soy_product,VEG,pan_indian,76,8.0,2.0,4.5,1.0,0.6,7,121,350,5.4,5,0.1,0,0,15,0.30,15,1,soy,low,vegan;menopause;pcos,thyroid,all,standard,80,80,½ cup,IFCT-2017-est
Moong Sprouts,मूंग अंकुर,ಹೆಸರು ಮೊಳಕೆ,பாசிப்பயறு முளை,মুগ অঙ্কুর,PULSE_LEGUME,sprout,VEG,pan_indian,55,5.0,5.0,0.5,1.7,4.0,6,150,30,1.5,3,13.0,0,0,60,0.05,32,2,,low,diabetes_t2;weight_loss;pcos;immunity,,all,economy,15,50,1 cup,IFCT-2017-est
Cow Milk (Whole),गाय का दूध,ಹಸುವಿನ ಹಾಲು,பசும் பால்,গরুর দুধ,DAIRY,milk,VEG,pan_indian,67,3.2,4.4,4.1,0.0,4.4,40,143,120,0.2,32,1.7,0.1,0.4,5,0.03,39,2,dairy,low,growth;pregnancy;elderly,lactose;ibs,all,economy,55,200,1 cup,IFCT-2017-est
Cow Milk (Toned),टोन्ड दूध,ಟೋನ್ಡ್ ಹಾಲು,டோன்டு பால்,টোনড দুধ,DAIRY,milk,VEG,pan_indian,58,3.1,4.7,3.0,0.0,4.7,40,150,125,0.1,28,2.0,0.1,0.4,5,0.02,40,2,dairy,low,weight_loss;heart,lactose,all,economy,30,200,1 cup,IFCT-2017-est
Cow Milk (Skimmed),स्किम्ड दूध,ಸ್ಕಿಮ್ಡ್ ಹಾಲು,கொழுப்பு நீக்கிய பால்,স্কিমড দুধ,DAIRY,milk,VEG,pan_indian,35,3.4,5.0,0.1,0.0,5.0,42,156,125,0.1,0,2.0,0.1,0.4,5,0.0,30,2,dairy,low,weight_loss;heart;diabetes_t2,lactose,all,standard,40,200,1 cup,IFCT-2017-est
Buffalo Milk,भैंस का दूध,ಎಮ್ಮೆ ಹಾಲು,எருமை பால்,মহিষের দুধ,DAIRY,milk,VEG,pan_indian,97,3.7,5.0,6.9,0.0,5.0,52,178,180,0.1,53,2.5,0.1,0.4,6,0.05,42,2,dairy,low,growth;underweight,lactose;hyperlipidemia;weight_loss,all,economy,60,200,1 cup,IFCT-2017-est
Curd (Cow),दही,ಮೊಸರು,தயிர்,দই,DAIRY,fermented,VEG,pan_indian,60,3.1,3.0,4.0,0.0,3.0,46,125,150,0.1,17,1.0,0.1,0.4,8,0.03,11,0,dairy,low,gut_healing;digestion;immunity,lactose_severe,all,economy,40,150,½ cup,IFCT-2017-est
Greek Yogurt (Hung Curd),हंग कर्ड,ಕಟ್ಟು ಮೊಸರು,தோய்ந்த தயிர்,ঘন দই,DAIRY,fermented,VEG,pan_indian,97,9.0,3.6,5.0,0.0,3.6,36,141,110,0.1,27,0.5,0.1,0.5,7,0.03,11,0,dairy,low,high_protein;weight_loss;pcos,lactose_severe,all,standard,90,100,½ cup,IFCT-2017-est
Paneer (Cottage Cheese),पनीर,ಪನೀರ್,பன்னீர்,পনির,DAIRY,cheese,VEG,pan_indian,265,18.3,1.2,20.8,0.0,1.0,18,135,208,0.2,158,0,0.4,1.1,9,0.10,28,0,dairy,low,high_protein;muscle_gain;growth,lactose;hyperlipidemia,all,standard,60,40,¼ cup cubes,IFCT-2017-est
Cheese (Cheddar),चीज़,ಚೀಸ್,சீஸ்,চিজ,DAIRY,cheese,VEG,pan_indian,402,25.0,1.3,33.0,0.0,0.5,621,98,721,0.7,265,0,0.6,0.8,18,0.40,1,0,dairy,low,calcium;underweight,lactose;hypertension;hyperlipidemia,all,premium,300,30,1 slice,IFCT-2017-est
Khoa (Milk Solids),खोवा,ಖೋವಾ,கோவா,ক্ষোয়া,DAIRY,concentrated,VEG,north_indian,421,14.5,20.0,31.0,0.0,20.0,30,290,950,0.5,200,0,0.3,0.8,8,0.30,30,6,dairy,low,growth;underweight,lactose;hyperlipidemia;diabetes_t2,all,premium,400,30,2 tbsp,IFCT-2017-est
Buttermilk (Chaas),छाछ,ಮಜ್ಜಿಗೆ,மோர்,ঘোল,DAIRY,fermented,VEG,pan_indian,40,1.8,3.0,2.0,0.0,3.0,150,135,90,0.1,15,0.5,0.1,0.3,4,0.02,15,0,dairy,low,gut_healing;digestion;summer;hydration,lactose_severe,summer,economy,15,200,1 glass,IFCT-2017-est
Lassi (Sweet),लस्सी,ಸಿಹಿ ಲಸ್ಸಿ,இனிப்பு லஸ்ஸி,মিষ্টি লস্যি,DAIRY,beverage,VEG,punjab;north_indian,98,2.5,15.0,3.0,0.0,14.0,30,140,90,0.1,25,0.4,0.1,0.3,5,0.02,55,8,dairy,low,,diabetes_t2;weight_loss,summer,standard,40,200,1 glass,IFCT-2017-est
Ghee (Cow),गाय का घी,ಗೋ ತುಪ್ಪ,நெய்,গরুর ঘি,FAT_OIL,ghee,VEG,pan_indian,883,0.0,0.0,99.9,0.0,0.0,2,5,4,0.0,840,0,1.5,0,0,1.40,0,0,dairy,low,growth;ayurveda,hyperlipidemia,all,premium,500,5,1 tsp,IFCT-2017-est
Butter,मक्खन,ಬೆಣ್ಣೆ,வெண்ணெய்,মাখন,FAT_OIL,fat,VEG,pan_indian,737,0.6,0.4,81.1,0.0,0.4,11,24,24,0.0,684,0,0.8,0.1,3,0.30,0,0,dairy,low,,hyperlipidemia;hypertension,all,standard,100,5,1 tsp,IFCT-2017-est
Chicken Egg (Whole),अंडा,ಮೊಟ್ಟೆ,முட்டை,ডিম,EGG,whole_egg,EGG,pan_indian,143,12.6,1.1,9.5,0.0,1.1,124,138,56,1.8,160,0,2.0,0.9,47,0.10,0,0,egg,low,muscle_gain;growth;high_protein,,all,economy,7,50,1 large egg,IFCT-2017-est
Egg White Only,अंडे का सफेद,ಮೊಟ್ಟೆ ಬಿಳಿ,முட்டை வெள்ளை,ডিমের সাদা,EGG,egg_part,EGG,pan_indian,52,11.0,0.7,0.2,0.0,0.7,166,163,7,0.1,0,0,0,0.1,4,0.0,0,0,egg,low,high_protein;weight_loss;heart,,all,economy,7,33,white of 1 egg,IFCT-2017-est
Chicken Breast (Skinless),चिकन ब्रेस्ट,ಕೋಳಿ ಸ್ತನ,கோழி மார்பகம்,চিকেন ব্রেস্ট,FLESH_FOOD,poultry,NON_VEG,pan_indian,165,31.0,0.0,3.6,0.0,0.0,74,256,15,1.0,0,0,0.1,0.4,4,0.05,0,0,,low,muscle_gain;weight_loss;high_protein,gout,all,standard,250,100,1 fillet,IFCT-2017-est
Chicken Thigh (Skinless),चिकन जांघ,ಕೋಳಿ ತೊಡೆ,கோழி தொடை,চিকেন থাই,FLESH_FOOD,poultry,NON_VEG,pan_indian,177,24.0,0.0,8.5,0.0,0.0,86,239,12,1.3,0,0,0.1,0.5,6,0.10,0,0,,low,growth;underweight,gout;hyperlipidemia,all,standard,220,100,1 piece,IFCT-2017-est
Mutton (Goat) Lean,बकरे का गोश्त,ಆಡಿನ ಮಾಂಸ,ஆட்டுக்கறி,খাসির মাংস,FLESH_FOOD,red_meat,NON_VEG,pan_indian,109,20.0,0.0,3.0,0.0,0.0,72,310,12,3.0,0,0,0.1,1.2,6,0.10,0,0,,low,anaemia;b12;growth,gout;heart;hypertension,all,premium,650,80,small piece,IFCT-2017-est
Egg (Duck),बत्तख का अंडा,ಬಾತುಕೋಳಿ ಮೊಟ್ಟೆ,வாத்து முட்டை,হাঁসের ডিম,EGG,whole_egg,EGG,pan_indian,185,13.0,1.5,14.0,0.0,1.5,146,222,64,3.9,194,0,1.7,5.4,80,0.10,0,0,egg,low,muscle_gain;b12,hyperlipidemia,winter,standard,15,70,1 egg,IFCT-2017-est
Rohu (Carp),रोहू,ರೊಹು,ரோகு,রুই,FLESH_FOOD,fish,NON_VEG,bengali;east_indian,97,16.6,0.0,1.4,0.0,0.0,49,300,650,1.0,30,0,2.0,2.5,15,0.30,0,0,fish,low,heart;b12;omega3,gout,all,standard,300,100,1 piece,IFCT-2017-est
Pomfret (Pampus),पॉम्फ्रेट,ಪಾಂಫ್ರೆಟ್,வாவல்,পমফ্রেট,FLESH_FOOD,fish,NON_VEG,coastal,96,18.5,0.0,2.5,0.0,0.0,87,400,30,0.7,18,0,3.0,2.0,12,0.50,0,0,fish,low,heart;omega3,gout,all,premium,800,100,1 medium,IFCT-2017-est
Salmon (Farmed),सैल्मन,ಸಾಲ್ಮನ್,சால்மன்,সালমন,FLESH_FOOD,fish,NON_VEG,pan_indian,208,20.0,0.0,13.0,0.0,0.0,59,363,9,0.3,12,0,11.0,3.2,25,2.30,0,0,fish,low,heart;omega3;skin;eczema,gout,all,premium,1500,100,1 fillet,IFCT-2017-est
Sardines (Tinned),सार्डिन,ಸಾರ್ಡೀನ್,கானாங்கெளுத்தி,সারডিন,FLESH_FOOD,fish,NON_VEG,coastal,208,25.0,0.0,11.5,0.0,0.0,307,397,382,2.9,32,0,4.8,8.9,12,1.50,0,0,fish,low,heart;omega3;calcium,gout;hypertension,all,standard,180,80,small can,IFCT-2017-est
Prawns,झींगा,ಸಿಗಡಿ,இறால்,চিংড়ি,FLESH_FOOD,seafood,NON_VEG,coastal,99,24.0,0.2,0.3,0.0,0.0,111,259,70,0.5,180,0,0,1.1,8,0.30,0,0,shellfish,low,high_protein;b12,gout;hyperlipidemia,all,premium,800,100,8-10 medium,IFCT-2017-est
Almonds,बादाम,ಬಾದಾಮಿ,பாதாம்,বাদাম,NUT_OILSEED,nut,VEG,pan_indian,579,21.2,21.5,49.4,12.5,4.4,1,733,264,3.7,1,0,0,0,44,0.01,15,3,nut,low,heart;diabetes_t2;skin;hair,allergy_nut,all,premium,800,15,10 pieces,IFCT-2017-est
Cashew Nuts,काजू,ಗೋಡಂಬಿ,முந்திரி,কাজু,NUT_OILSEED,nut,VEG,pan_indian,553,18.2,30.2,43.8,3.3,5.9,12,660,37,6.7,0,0.5,0,0,25,0.06,25,8,nut,moderate,b12;heart,allergy_nut;weight_loss,all,premium,900,15,10 pieces,IFCT-2017-est
Walnuts,अखरोट,ಆಕ್ರೋಟ್,அக்ரூட்,আখরোট,NUT_OILSEED,nut,VEG,pan_indian,654,15.2,13.7,65.2,6.7,2.6,2,441,98,2.9,1,1.3,0,0,98,9.10,0,0,nut,low,heart;omega3;skin;brain,allergy_nut,all,premium,900,15,4 halves,IFCT-2017-est
