name,name_local_hi,name_local_kn,name_local_ta,name_local_bn,category,sub_category,veg_type,cuisine_regions,kcal,protein_g,carb_g,fat_g,fiber_g,sugar_g,sodium_mg,potassium_mg,calcium_mg,iron_mg,vitamin_a_ug,vitamin_c_mg,vitamin_d_ug,vitamin_b12_ug,folate_ug,omega3_g,gi,glycemic_load_per_100g,allergens,fodmap_level,disease_allowed,disease_restricted,seasonality,cost_tier,unit_cost_inr,default_portion_g,default_portion_desc,source
Peanuts (Groundnut),मूंगफली,ಶೇಂಗಾ,நிலக்கடலை,চিনাবাদাম,NUT_OILSEED,oilseed,VEG,pan_indian,567,25.8,16.1,49.2,8.5,4.7,18,705,92,4.6,0,0,0,0,240,0.10,14,2,peanut,moderate,heart;diabetes_t2;underweight,allergy_peanut,winter,economy,150,15,handful,IFCT-2017-est
Pistachios,पिस्ता,ಪಿಸ್ತಾ,பிஸ்தா,পেস্তা,NUT_OILSEED,nut,VEG,pan_indian,560,20.0,28.0,45.0,10.0,7.7,1,1025,105,3.9,28,5.0,0,0,51,0.30,15,4,nut,moderate,heart;diabetes_t2,allergy_nut,all,premium,1500,15,~30 pieces,IFCT-2017-est
Flaxseeds (Alsi),अलसी,ಅಗಸೆ,ஆளி விதை,তিসি,NUT_OILSEED,seed,VEG,pan_indian,534,18.3,28.9,42.2,27.3,1.6,30,813,255,5.7,0,0.6,0,0,87,22.80,0,0,,moderate,heart;omega3;pcos;hypothyroid;hyperlipidemia,,all,economy,200,10,1 tbsp,IFCT-2017-est
Chia Seeds,चिया,ಚಿಯಾ,சியா விதை,চিয়া,NUT_OILSEED,seed,VEG,pan_indian,486,16.5,42.0,30.7,34.4,0.0,16,407,631,7.7,54,1.6,0,0,49,17.80,0,0,,low,heart;diabetes_t2;pcos;omega3;weight_loss,,all,premium,800,10,1 tbsp,IFCT-2017-est
Pumpkin Seeds,कद्दू के बीज,ಕುಂಬಳಕಾಯಿ ಬೀಜ,பூசணி விதை,কুমড়ো বীজ,NUT_OILSEED,seed,VEG,pan_indian,559,30.2,10.7,49.0,6.0,1.4,7,809,46,8.8,1,1.9,0,0,58,0.20,0,0,,low,zinc;pcos;skin;hair;heart,,all,standard,250,10,1 tbsp,IFCT-2017-est
Sunflower Seeds,सूरजमुखी बीज,ಸೂರ್ಯಕಾಂತಿ ಬೀಜ,சூரியகாந்தி விதை,সূর্যমুখী বীজ,NUT_OILSEED,seed,VEG,pan_indian,584,20.8,20.0,51.5,8.6,2.6,9,645,78,5.3,3,1.4,0,0,227,0.07,0,0,,low,heart;skin;vitamin_e,,all,standard,200,10,1 tbsp,IFCT-2017-est
Sesame Seeds (White),तिल,ಎಳ್ಳು,எள்,তিল,NUT_OILSEED,seed,VEG,pan_indian,573,17.7,23.4,49.7,11.8,0.3,11,468,975,14.6,1,0,0,0,97,0.30,0,0,sesame,moderate,calcium;osteoporosis;anaemia,sesame_allergy,winter,economy,150,10,1 tbsp,IFCT-2017-est
Mustard Seeds,सरसों,ಸಾಸಿವೆ,கடுகு,সরিষা,NUT_OILSEED,seed,VEG,pan_indian,508,26.0,28.0,36.0,12.0,0.0,13,738,266,9.2,2,7.0,0,0,162,5.50,0,0,mustard,low,omega3,mustard_allergy,all,economy,80,5,1 tsp,IFCT-2017-est
Fenugreek Seeds (Methi),मेथी दाना,ಮೆಂತ್ಯ,வெந்தயம்,মেথি,SPICE,seed,VEG,pan_indian,323,23.0,58.4,6.4,24.6,0.0,67,770,176,33.5,3,3.0,0,0,57,0.40,0,0,,moderate,diabetes_t2;pcos;hair;lactation,,all,economy,80,5,1 tsp,IFCT-2017-est
Coconut (Fresh),नारियल,ತೆಂಗಿನ ತಿರುಳು,தேங்காய்,নারকেল,NUT_OILSEED,fruit_nut,VEG,coastal;south_indian,354,3.3,15.2,33.5,9.0,6.2,20,356,14,2.4,0,3.3,0,0,26,0.0,42,6,,low,,hyperlipidemia,all,economy,40,30,small piece,IFCT-2017-est
Coconut (Dry / Copra),सूखा नारियल,ಒಣ ತೆಂಗಿನಕಾಯಿ,கொப்பரை,শুকনো নারকেল,NUT_OILSEED,fruit_nut,VEG,coastal,662,7.0,24.0,62.0,16.0,7.0,37,545,26,3.3,0,1.5,0,0,9,0.0,42,10,,low,,hyperlipidemia,all,economy,150,15,1 tbsp,IFCT-2017-est
Mustard Oil,सरसों का तेल,ಸಾಸಿವೆ ಎಣ್ಣೆ,கடுகு எண்ணெய்,সরিষার তেল,FAT_OIL,oil,VEGAN,north_indian;bengali,884,0,0,100,0,0,0,0,0,0,0,0,0,0,0,5.90,0,0,,low,heart;omega3,,all,economy,150,5,1 tsp,IFCT-2017-est
Coconut Oil,नारियल तेल,ತೆಂಗಿನ ಎಣ್ಣೆ,தேங்காய் எண்ணெய்,নারকেল তেল,FAT_OIL,oil,VEGAN,kerala;coastal,884,0,0,100,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,,low,,hyperlipidemia,all,standard,250,5,1 tsp,IFCT-2017-est
Groundnut Oil,मूंगफली का तेल,ನೆಲಗಡಲೆ ಎಣ್ಣೆ,கடலை எண்ணெய்,চিনাবাদামের তেল,FAT_OIL,oil,VEGAN,pan_indian,884,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.10,0,0,peanut,low,,allergy_peanut,all,economy,160,5,1 tsp,IFCT-2017-est
Sunflower Oil,सूरजमुखी तेल,ಸೂರ್ಯಕಾಂತಿ ಎಣ್ಣೆ,சூரியகாந்தி எண்ணெய்,সূর্যমুখী তেল,FAT_OIL,oil,VEGAN,pan_indian,884,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.20,0,0,,low,,,all,economy,140,5,1 tsp,IFCT-2017-est
Olive Oil,जैतून का तेल,ಆಲಿವ್ ಎಣ್ಣೆ,ஆலிவ் எண்ணெய்,অলিভ অয়েল,FAT_OIL,oil,VEGAN,pan_indian,884,0,0,100,0,0,2,1,1,0.6,0,0,0,0,0,0.80,0,0,,low,heart;mediterranean,,all,premium,500,5,1 tsp,IFCT-2017-est
Sesame Oil (Til),तिल का तेल,ಎಳ್ಳಿನ ಎಣ್ಣೆ,எள் எண்ணெய்,তিলের তেল,FAT_OIL,oil,VEGAN,south_indian,884,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.30,0,0,sesame,low,,sesame_allergy,all,standard,400,5,1 tsp,IFCT-2017-est
Spinach (Palak),पालक,ಪಾಲಕ್,கீரை,পালং শাক,GLV,green_leafy,VEG,pan_indian,26,2.0,2.9,0.7,2.0,0.4,79,558,73,2.7,469,28.1,0,0,194,0.14,15,1,,low,anaemia;iron;b12;immunity,kidney_stones;warfarin,winter,economy,40,100,1 cup raw,IFCT-2017-est
Methi Leaves (Fenugreek),मेथी,ಮೆಂತ್ಯ ಸೊಪ್ಪು,வெந்தய இலை,মেথি শাক,GLV,green_leafy,VEG,pan_indian,49,4.4,6.0,0.9,1.1,0.3,76,500,395,16.5,469,52.0,0,0,57,0.20,15,2,,low,anaemia;diabetes_t2;pcos;lactation,warfarin,winter,economy,40,100,1 cup raw,IFCT-2017-est
Amaranth Leaves (Cholai),चौलाई,ರಾಜಗಿರಿ ಸೊಪ್ಪು,அரைக்கீரை,আমরন্ত পাতা,GLV,green_leafy,VEG,karnataka;tamil_nadu;andhra,23,4.0,4.0,0.3,2.4,0.0,20,611,267,4.5,2917,43.0,0,0,80,0.10,15,1,,low,anaemia;iron;calcium;b12,warfarin,summer,economy,30,100,1 cup raw,IFCT-2017-est
Mustard Greens (Sarson),सरसों का साग,ಸಾಸಿವೆ ಸೊಪ್ಪು,கடுகு கீரை,সরষে শাক,GLV,green_leafy,VEG,punjab;north_indian,27,2.9,4.7,0.4,3.2,1.3,20,384,115,1.6,302,70.0,0,0,12,0.13,15,1,mustard,low,heart;anaemia,warfarin,winter,economy,40,100,1 cup raw,IFCT-2017-est
Drumstick Leaves (Moringa),सहजन पत्ता,ನುಗ್ಗೆ ಸೊಪ್ಪು,முருங்கை கீரை,সজনে পাতা,GLV,green_leafy,VEG,karnataka;south_indian,64,9.4,8.3,1.4,2.0,0.0,9,337,185,4.0,378,51.7,0,0,40,0.15,15,1,,low,anaemia;iron;immunity;diabetes_t2,warfarin,summer,economy,40,100,1 cup raw,IFCT-2017-est
Curry Leaves,कड़ी पत्ता,ಕರಿಬೇವು,கறிவேப்பிலை,কারি পাতা,SPICE,herb,VEG,south_indian;pan_indian,108,6.0,18.0,1.0,6.0,0.0,11,830,830,0.93,7560,4.0,0,0,93,0.10,0,0,,low,hair;anaemia,,all,economy,150,2,sprig,IFCT-2017-est
Coriander Leaves (Dhania),धनिया पत्ता,ಕೊತ್ತಂಬರಿ ಸೊಪ್ಪು,கொத்தமல்லி,ধনে পাতা,GLV,herb,VEG,pan_indian,23,2.1,3.7,0.5,2.8,0.9,46,521,67,1.8,337,27.0,0,0,62,0.03,0,0,,low,digestion;detox,,winter,economy,30,20,small bunch,IFCT-2017-est
Mint Leaves (Pudina),पुदीना,ಪುದೀನ,புதினா,পুদিনা,GLV,herb,VEG,pan_indian,44,3.3,8.4,0.7,8.0,0.0,30,569,243,11.9,212,13.3,0,0,114,0.05,0,0,,moderate,digestion;ibs;cooling;gerd,,summer,economy,30,20,small bunch,IFCT-2017-est
Cabbage,पत्ता गोभी,ಎಲೆಕೋಸು,முட்டைகோசு,বাঁধাকপি,VEGETABLE,cruciferous,VEG,pan_indian,25,1.3,5.8,0.1,2.5,3.2,18,170,40,0.5,5,36.6,0,0,43,0.04,10,1,,high,weight_loss;diabetes_t2,thyroid;ibs_d;gas,winter,economy,15,80,1 cup chopped,IFCT-2017-est
Cauliflower,फूलगोभी,ಹೂಕೋಸು,காலிஃபிளவர்,ফুলকপি,VEGETABLE,cruciferous,VEG,pan_indian,25,1.9,4.9,0.3,2.0,1.9,30,299,22,0.4,0,48.2,0,0,57,0.04,15,1,,high,weight_loss;diabetes_t2,thyroid;ibs_d;gas;gout,winter,economy,30,80,1 cup florets,IFCT-2017-est
Broccoli,ब्रोकली,ಬ್ರೊಕೋಲಿ,புரோக்கோலி,ব্রকলি,VEGETABLE,cruciferous,VEG,pan_indian,34,2.8,6.6,0.4,2.6,1.7,33,316,47,0.7,31,89.2,0,0,63,0.13,15,1,,moderate,weight_loss;diabetes_t2;cancer,thyroid_severe;ibs_d,winter,premium,200,80,1 cup florets,IFCT-2017-est
Carrot,गाजर,ಕ್ಯಾರೆಟ್,கேரட்,গাজর,ROOT_TUBER,root,VEG,pan_indian,41,0.9,9.6,0.2,2.8,4.7,69,320,33,0.3,835,5.9,0,0,19,0.0,39,4,,low,vitamin_a;eye_health;weight_loss,,winter,economy,30,80,1 medium,IFCT-2017-est
Beetroot,चुकंदर,ಬೀಟ್ರೂಟ್,பீட்ரூட்,বিট,ROOT_TUBER,root,VEG,pan_indian,43,1.6,9.6,0.2,2.8,6.8,78,325,16,0.8,2,4.9,0,0,109,0.0,64,6,,moderate,anaemia;heart;bp,kidney_stones,winter,economy,30,80,1 medium,IFCT-2017-est
Potato,आलू,ಆಲೂಗಡ್ಡೆ,உருளைக்கிழங்கு,আলু,ROOT_TUBER,tuber,VEG,pan_indian,77,2.0,17.0,0.1,2.2,0.8,6,425,12,0.8,2,19.7,0,0,15,0.0,82,14,,low,,diabetes_t2;pcos;weight_loss,all,economy,15,80,1 medium,IFCT-2017-est
Sweet Potato,शकरकंद,ಸಿಹಿ ಗೆಣಸು,சர்க்கரை வள்ளி,মিষ্টি আলু,ROOT_TUBER,tuber,VEG,pan_indian,86,1.6,20.1,0.1,3.0,4.2,55,337,30,0.6,709,2.4,0,0,11,0.01,63,13,,low,diabetes_t2;weight_loss;eye_health;pregnancy,,winter,economy,30,80,1 medium,IFCT-2017-est
Onion (Red),प्याज,ಈರುಳ್ಳಿ,வெங்காயம்,পেঁয়াজ,VEGETABLE,bulb,VEG,pan_indian,40,1.1,9.3,0.1,1.7,4.2,4,146,23,0.2,2,7.4,0,0,19,0.0,10,1,,high,heart;diabetes_t2,ibs;gerd;onion_garlic_avoid,all,economy,30,30,1 small,IFCT-2017-est
Garlic,लहसुन,ಬೆಳ್ಳುಳ್ಳಿ,பூண்டு,রসুন,SPICE,bulb,VEG,pan_indian,149,6.4,33.1,0.5,2.1,1.0,17,401,181,1.7,0,31.2,0,0,3,0.02,0,0,,high,heart;immunity;bp,ibs;gerd;onion_garlic_avoid,all,economy,200,5,2-3 cloves,IFCT-2017-est
Ginger,अदरक,ಶುಂಠಿ,இஞ்சி,আদা,SPICE,rhizome,VEG,pan_indian,80,1.8,17.8,0.7,2.0,1.7,13,415,16,0.6,0,5.0,0,0,11,0.03,0,0,,moderate,digestion;nausea;immunity;ibs,,all,economy,200,5,1-inch piece,IFCT-2017-est
Tomato (Ripe),टमाटर,ಟೊಮಾಟೋ,தக்காளி,টমেটো,VEGETABLE,fruit_veg,VEG,pan_indian,18,0.9,3.9,0.2,1.2,2.6,5,237,10,0.3,42,13.7,0,0,15,0.0,15,1,,low,heart;skin;weight_loss,gerd;acidity,all,economy,15,80,1 medium,IFCT-2017-est
Cucumber,खीरा,ಸೌತೆಕಾಯಿ,வெள்ளரி,শসা,VEGETABLE,gourd,VEG,pan_indian,15,0.7,3.6,0.1,0.5,1.7,2,147,16,0.3,5,2.8,0,0,7,0.0,15,1,,low,hydration;weight_loss;cooling,,summer,economy,20,80,½ cup,IFCT-2017-est
Bottle Gourd (Lauki),लौकी,ಸೋರೆಕಾಯಿ,சுரைக்காய்,লাউ,VEGETABLE,gourd,VEG,pan_indian,15,0.6,3.4,0.0,0.5,1.4,2,150,20,0.2,0,10.0,0,0,6,0.0,15,1,,low,weight_loss;diabetes_t2;digestion;ckd;summer,,summer,economy,20,80,1 cup,IFCT-2017-est
Ridge Gourd (Turai),तोरई,ಹೀರೆಕಾಯಿ,பீர்க்கங்காய்,ঝিঙে,VEGETABLE,gourd,VEG,pan_indian,17,0.5,4.3,0.1,1.0,2.0,3,140,20,0.4,8,5.0,0,0,7,0.0,15,1,,low,weight_loss;diabetes_t2,,summer,economy,15,80,1 cup,IFCT-2017-est
Bitter Gourd (Karela),करेला,ಹಾಗಲಕಾಯಿ,பாகற்காய்,করলা,VEGETABLE,gourd,VEG,pan_indian,17,1.0,3.7,0.2,2.8,0.0,5,296,19,0.4,24,84.0,0,0,72,0.02,15,1,,low,diabetes_t2;pcos;liver_support;immunity,gerd;hypoglycemia,summer,economy,30,80,1 cup,IFCT-2017-est
Snake Gourd (Padwal),पडवल,ಪಡವಲ,புடலங்காய்,চিচিঙ্গা,VEGETABLE,gourd,VEG,south_indian,18,0.5,4.0,0.3,1.0,1.5,8,260,26,0.6,18,3.0,0,0,5,0.0,15,1,,low,weight_loss;diabetes_t2;summer,,summer,economy,20,80,1 cup,IFCT-2017-est
Pumpkin (Yellow),कद्दू,ಸಿಹಿಗುಂಬಳ,பரங்கிக்காய்,কুমড়ো,VEGETABLE,gourd,VEG,pan_indian,26,1.0,6.5,0.1,0.5,2.8,1,340,21,0.8,426,9.0,0,0,16,0.0,75,5,,low,vitamin_a;eye_health;digestion,,winter,economy,15,80,1 cup,IFCT-2017-est
Brinjal (Eggplant),बैंगन,ಬದನೆಕಾಯಿ,கத்திரி,বেগুন,VEGETABLE,nightshade,VEG,pan_indian,25,1.0,5.9,0.2,3.0,3.5,2,229,9,0.2,1,2.2,0,0,22,0.0,15,1,nightshade,low,heart;weight_loss,nightshade_avoid;arthritis,all,economy,15,80,½ cup,IFCT-2017-est
Okra (Bhindi),भिंडी,ಬೆಂಡೆಕಾಯಿ,வெண்டைக்காய்,ঢেঁড়স,VEGETABLE,pod,VEG,pan_indian,33,1.9,7.5,0.2,3.2,1.5,7,299,82,0.6,36,23.0,0,0,60,0.03,15,1,,moderate,diabetes_t2;heart;digestion,kidney_stones,summer,economy,30,80,1 cup,IFCT-2017-est
Cluster Beans (Gawar),गवार,ಗೋರಿಕಾಯಿ,கொத்தவரங்காய்,বরবটি,VEGETABLE,pod,VEG,pan_indian,16,3.2,10.8,0.4,3.0,2.0,5,243,57,1.1,8,49.0,0,0,30,0.05,15,1,,moderate,diabetes_t2,gout,summer,economy,20,80,1 cup,IFCT-2017-est
Capsicum (Green),शिमला मिर्च,ಡೊಣ್ಣೆ ಮೆಣಸಿನಕಾಯಿ,குடைமிளகாய்,ক্যাপসিকাম,VEGETABLE,fruit_veg,VEG,pan_indian,20,0.9,4.6,0.2,1.7,2.4,3,175,10,0.3,18,80.4,0,0,10,0.0,15,1,,low,vitamin_c;heart;weight_loss,gerd,all,economy,40,80,½ cup,IFCT-2017-est
Green Peas (Fresh),हरी मटर,ಬಟಾಣಿ,பச்சை பட்டாணி,কড়াইশুঁটি,VEGETABLE,legume_fresh,VEG,pan_indian,81,5.4,14.5,0.4,5.7,5.7,5,244,25,1.5,38,40.0,0,0,65,0.03,48,7,,moderate,protein;diabetes_t2;heart,gout;ibs,winter,economy,40,80,½ cup,IFCT-2017-est
French Beans,फ्रेंच बीन्स,ಬೀನ್ಸ್,பீன்ஸ்,ফরাসি বিন,VEGETABLE,pod,VEG,pan_indian,31,1.8,7.0,0.2,3.4,1.4,6,209,37,1.0,35,12.2,0,0,33,0.05,15,1,,moderate,diabetes_t2,gout,winter,economy,40,80,1 cup,IFCT-2017-est
Mushrooms (Button),मशरूम,ಅಣಬೆ,காளான்,মাশরুম,VEGETABLE,fungi,VEG,pan_indian,22,3.1,3.3,0.3,1.0,2.0,5,318,3,0.5,0,2.1,0.2,0,17,0.0,10,0,,moderate,b_vitamins;weight_loss,sattvic_avoid;jain_avoid,all,standard,200,80,1 cup,IFCT-2017-est
Radish (White),मूली,ಮೂಲಂಗಿ,முள்ளங்கி,মূলো,ROOT_TUBER,root,VEG,pan_indian,16,0.7,3.4,0.1,1.6,1.9,39,233,25,0.3,0,14.8,0,0,25,0.0,15,1,,low,liver;digestion;weight_loss,thyroid,winter,economy,15,80,½ cup,IFCT-2017-est
Apple,सेब,ಸೇಬು,ஆப்பிள்,আপেল,FRUIT,pome,VEG,pan_indian,52,0.3,13.8,0.2,2.4,10.4,1,107,6,0.1,3,4.6,0,0,3,0.01,38,5,,high,heart;diabetes_t2;weight_loss,,winter,standard,200,150,1 medium,IFCT-2017-est
Banana,केला,ಬಾಳೆಹಣ್ಣು,வாழைப்பழம்,কলা,FRUIT,tropical,VEG,pan_indian,89,1.1,22.8,0.3,2.6,12.2,1,358,5,0.3,3,8.7,0,0,20,0.03,51,12,,moderate,energy;potassium;pre_workout,diabetes_t2_strict;weight_loss,all,economy,8,120,1 medium,IFCT-2017-est
Mango (Ripe),आम,ಮಾವಿನ ಹಣ್ಣು,மாம்பழம்,আম,FRUIT,tropical,VEG,pan_indian,60,0.8,15.0,0.4,1.6,13.7,1,168,11,0.2,54,36.4,0,0,43,0.03,55,8,,moderate,vitamin_a;summer,diabetes_t2_strict;weight_loss,summer,economy,80,150,half medium,IFCT-2017-est
Papaya (Ripe),पपीता,ಪರಂಗಿಹಣ್ಣು,பப்பாளி,পেঁপে,FRUIT,tropical,VEG,pan_indian,43,0.5,10.8,0.3,1.7,7.8,8,182,20,0.3,47,60.9,0,0,37,0.0,60,7,,low,digestion;skin;immunity;pregnancy_late,early_pregnancy,all,economy,40,150,1 cup cubes,IFCT-2017-est
Guava,अमरूद,ಪೇರಲ,கொய்யா,পেয়ারা,FRUIT,tropical,VEG,pan_indian,68,2.6,14.3,1.0,5.4,8.9,2,417,18,0.3,31,228.3,0,0,49,0.10,12,2,,moderate,vitamin_c;diabetes_t2;digestion;weight_loss,,winter,economy,40,120,1 medium,IFCT-2017-est
Orange,संतरा,ಕಿತ್ತಳೆ,ஆரஞ்சு,কমলা,FRUIT,citrus,VEG,pan_indian,47,0.9,11.8,0.1,2.4,9.4,0,181,40,0.1,11,53.2,0,0,30,0.01,42,5,citrus,low,vitamin_c;immunity,gerd;ulcer,winter,economy,30,140,1 medium,IFCT-2017-est
Sweet Lime (Mosambi),मौसम्बी,ಮೂಸಂಬಿ,சாத்துக்குடி,মুসাম্বি,FRUIT,citrus,VEG,pan_indian,42,0.7,10.0,0.3,2.0,7.0,2,160,40,0.4,4,30.0,0,0,8,0.0,40,5,citrus,low,vitamin_c;hydration,gerd,all,economy,40,150,1 medium,IFCT-2017-est
Pomegranate,अनार,ದಾಳಿಂಬೆ,மாதுளை,ডালিম,FRUIT,seed_fruit,VEG,pan_indian,83,1.7,18.7,1.2,4.0,13.7,3,236,10,0.3,0,10.2,0,0,38,0.08,53,10,,low,heart;skin;anaemia,,winter,standard,180,100,½ cup arils,IFCT-2017-est
Grapes (Black),काले अंगूर,ಕಪ್ಪು ದ್ರಾಕ್ಷಿ,கருப்பு திராட்சை,কালো আঙুর,FRUIT,berry,VEG,pan_indian,69,0.7,17.0,0.2,0.9,16.0,2,191,10,0.4,3,3.2,0,0,2,0.01,53,9,,moderate,heart;skin,diabetes_t2_strict,winter,standard,80,80,small bunch,IFCT-2017-est
Watermelon,तरबूज,ಕಲ್ಲಂಗಡಿ,தர்பூசணி,তরমুজ,FRUIT,tropical,VEG,pan_indian,30,0.6,7.6,0.2,0.4,6.2,1,112,7,0.2,28,8.1,0,0,3,0.0,72,5,,low,hydration;summer;weight_loss,diabetes_t2,summer,economy,30,150,1 cup cubes,IFCT-2017-est
Musk Melon,खरबूजा,ಕರ್ಬೂಜ,மஸ்க்மெலன்,খরমুজ,FRUIT,tropical,VEG,pan_indian,34,0.8,8.2,0.2,0.9,7.9,16,267,9,0.2,169,36.7,0,0,21,0.0,65,5,,moderate,hydration;summer,diabetes_t2,summer,economy,40,150,1 cup cubes,IFCT-2017-est
Pineapple,अनानास,ಅನಾನಸ್,அன்னாசி,আনারস,FRUIT,tropical,VEG,pan_indian,50,0.5,13.1,0.1,1.4,9.9,1,109,13,0.3,3,47.8,0,0,18,0.0,66,9,,moderate,digestion;immunity;inflammation,gerd;ulcer,summer,standard,80,100,1 cup cubes,IFCT-2017-est
Strawberry,स्ट्रॉबेरी,ಸ್ಟ್ರಾಬೆರಿ,ஸ்ட்ராபெரி,স্ট্রবেরি,FRUIT,berry,VEG,pan_indian,32,0.7,7.7,0.3,2.0,4.9,1,153,16,0.4,1,58.8,0,0,24,0.07,40,3,,low,vitamin_c;skin;heart,strawberry_allergy,winter,premium,400,80,~6 berries,IFCT-2017-est
Blueberry (Imported),ब्लूबेरी,ಬ್ಲೂಬೆರಿ,ப்ளூபெர்ரி,ব্লুবেরি,FRUIT,berry,VEG,pan_indian,57,0.7,14.5,0.3,2.4,10.0,1,77,6,0.3,3,9.7,0,0,6,0.06,53,8,,low,brain;heart;diabetes_t2;skin,,all,premium,1200,80,½ cup,IFCT-2017-est
Pear,नाशपाती,ಪೇರ್,பேரிக்காய்,নাশপাতি,FRUIT,pome,VEG,pan_indian,57,0.4,15.2,0.1,3.1,9.8,1,116,9,0.2,1,4.3,0,0,7,0.0,38,6,,high,heart;digestion,,winter,standard,200,150,1 medium,IFCT-2017-est
Kiwi,कीवी,ಕಿವಿ,கிவி,কিউই,FRUIT,berry,VEG,pan_indian,61,1.1,14.7,0.5,3.0,9.0,3,312,34,0.3,4,92.7,0,0,25,0.04,52,6,,low,vitamin_c;heart;sleep,,all,premium,800,80,1 medium,IFCT-2017-est
Avocado,एवोकाडो,ಅವಕಾಡೊ,அவகாடோ,অ্যাভোকাডো,FRUIT,tropical,VEG,pan_indian,160,2.0,8.5,14.7,6.7,0.7,7,485,12,0.6,7,10.0,0,0,81,0.10,15,1,,low,heart;weight_loss;skin,latex_cross_react,all,premium,1200,80,half medium,IFCT-2017-est
Dates (Dry),खजूर,ಖರ್ಜೂರ,பேரீச்சம்பழம்,খেজুর,FRUIT,dried,VEG,pan_indian,277,1.8,75.0,0.2,6.7,63.0,1,696,64,1.0,7,0.4,0,0,15,0.04,42,30,,moderate,anaemia;energy;winter,diabetes_t2_strict;weight_loss,winter,standard,250,15,2-3 dates,IFCT-2017-est
Raisins (Black),काली किशमिश,ಕಪ್ಪು ಒಣದ್ರಾಕ್ಷಿ,கருப்பு திராட்சை,কিশমিশ,FRUIT,dried,VEG,pan_indian,299,3.1,79.0,0.5,3.7,59.0,11,749,50,1.9,0,2.3,0,0,5,0.01,64,50,,moderate,anaemia;energy,diabetes_t2_strict,winter,standard,400,15,1 tbsp,IFCT-2017-est
Amla (Indian Gooseberry),आंवला,ನೆಲ್ಲಿಕಾಯಿ,நெல்லிக்காய்,আমলকী,FRUIT,berry,VEG,pan_indian,44,0.9,10.2,0.1,4.3,4.0,5,225,25,1.2,17,600.0,0,0,6,0.0,40,4,,low,vitamin_c;immunity;hair;eye_health;diabetes_t2,,winter,economy,80,30,1 small,IFCT-2017-est
Black Pepper,काली मिर्च,ಕರಿಮೆಣಸು,மிளகு,গোল মরিচ,SPICE,spice,VEG,pan_indian,251,10.4,64.0,3.3,25.0,0.6,20,1329,443,9.7,15,0,0,0,17,0.16,0,0,,low,digestion;cold,gerd,all,economy,800,1,1 pinch,IFCT-2017-est
Turmeric (Haldi),हल्दी,ಅರಿಶಿಣ,மஞ்சள்,হলুদ,SPICE,spice,VEG,pan_indian,354,7.8,64.9,9.9,21.0,3.2,38,2525,183,41.4,0,25.9,0,0,39,0.45,0,0,,low,inflammation;immunity;liver;skin;arthritis,gallstones;warfarin,all,economy,300,2,1 tsp,IFCT-2017-est
Cumin Seeds (Jeera),जीरा,ಜೀರಿಗೆ,சீரகம்,জিরা,SPICE,spice,VEG,pan_indian,375,17.8,44.2,22.3,10.5,2.3,168,1788,931,66.4,64,7.7,0,0,10,1.70,0,0,,low,digestion;iron;ibs,,all,economy,400,2,1 tsp,IFCT-2017-est
Coriander Seeds (Dhania),धनिया,ಧನಿಯಾ,கொத்தமல்லி விதை,ধনে,SPICE,spice,VEG,pan_indian,298,12.4,55.0,17.8,42.0,0.0,35,1267,709,16.3,0,21.0,0,0,1,0.18,0,0,,low,digestion;diabetes_t2;thyroid,,all,economy,250,2,1 tsp,IFCT-2017-est
